i,j,t
0,2,84
0,20,83
0,41,17
0,42,12
0,75,1
1,40,4
1,42,32
1,70,63
2,13,15
2,22,42
2,42,57
3,43,27
6,57,32
6,66,27
10,0,44
10,51,49
10,58,38
11,1,76
11,71,80
13,31,0
15,55,35
15,65,38
17,7,7
18,40,37
20,0,12
20,41,53
21,23,61
21,30,61
21,45,74
21,61,54
21,65,33
22,42,4
25,55,55
26,6,1
26,36,28
30,10,62
31,21,43
31,22,10
35,17,30
35,59,72
35,73,25
36,15,66
36,20,6
37,23,12
37,55,22
37,77,6
40,10,30
40,11,41
40,41,6
40,44,3
41,61,9
42,45,46
42,61,23
45,65,7
46,41,10
46,45,0
50,60,45
50,70,8
51,1,65
51,50,39
52,7,28
52,42,81
55,50,16
56,46,11
57,47,30
59,19,23
60,20,57
61,1,10
61,4,7
61,60,60
62,42,26
62,73,29
63,41,16
65,60,48
66,41,65
71,62,69
71,65,16
71,70,6
72,27,74
78,3,50
