i,j,t
21,42,80
44,76,51
43,27,6
67,36,28
59,3,19
45,11,20
36,14,63
64,52,21
14,8,56
58,8,57
56,73,50
24,46,68
20,18,60
68,64,44
52,72,18
56,31,2
39,34,36
11,42,27
35,45,44
72,43,58
38,29,14
65,0,46
29,65,61
25,42,55
77,63,68
43,12,22
41,1,75
34,75,46
43,2,43
3,32,18
24,77,69
24,23,52
69,37,6
76,68,17
0,70,26
42,23,62
49,25,1
38,58,5
12,81,32
64,59,68
58,40,10
28,72,66
44,16,72
75,16,23
18,47,68
32,6,42
43,38,21
0,24,39
29,35,71
24,20,39
63,74,70
26,62,81
66,70,34
56,33,42
6,47,14
57,13,58
12,38,48
5,41,32
50,38,46
36,47,67
76,78,10
14,54,73
58,78,20
51,4,38
0,72,60
46,57,43
17,44,45
56,75,78
52,43,17
70,23,73
36,34,12
79,68,4
65,74,11
15,15,14
29,8,40
70,34,24
5,24,48
35,55,12
30,62,57
33,39,20
28,2,33
68,15,0
74,8,65
37,46,22
