i,j,t
0,93,0
1,9,66
2,75,60
2,78,25
3,78,77
4,75,12
5,80,44
6,18,36
6,75,11
9,79,47
11,75,21
12,3,12
13,9,29
15,13,70
16,91,26
18,75,77
18,93,16
18,102,43
18,112,8
18,114,0
19,53,3
20,0,29
20,2,38
20,4,2
20,18,16
20,41,5
20,77,52
21,10,77
21,80,1
22,15,9
22,79,32
24,20,4
24,75,78
27,84,67
29,77,23
29,135,74
37,93,46
39,37,6
39,58,3
41,75,64
42,141,27
43,114,3
46,112,59
46,116,63
48,123,21
50,19,5
56,38,42
59,42,57
59,102,25
60,44,71
65,102,8
75,0,40
75,18,38
76,18,47
77,2,73
77,39,47
77,112,48
81,79,68
84,0,60
84,29,59
84,88,52
93,4,21
93,56,59
94,93,66
95,24,38
96,18,1
102,4,35
102,28,61
112,32,73
112,79,33
114,112,40
115,0,72
115,2,78
115,8,45
115,131,56
119,2,33
131,20,45
134,18,70
136,85,4
141,9,51
